[4.640s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.2ms
[4.640s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 19.7ms
[4.640s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.3ms
[4.641s][info][gc,phases   ] GC(11)   Other: 0.2ms
[4.641s][info][gc,heap     ] GC(11) Eden regions: 240->0(228)
[4.641s][info][gc,heap     ] GC(11) Survivor regions: 21->19(33)
[4.641s][info][gc,heap     ] GC(11) Old regions: 169->183
[4.641s][info][gc,heap     ] GC(11) Archive regions: 0->0
[4.641s][info][gc,heap     ] GC(11) Humongous regions: 22->22
[4.641s][info][gc,metaspace] GC(11) Metaspace: 5406K(5632K)->5406K(5632K) NonClass: 4980K(5120K)->4980K(5120K) Class: 425K(512K)->425K(512K)
[4.641s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 450M->223M(512M) 20.930ms
[4.641s][info][gc,cpu      ] GC(11) User=0.36s Sys=0.02s Real=0.03s
[5.145s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[5.145s][info][gc,task     ] GC(12) Using 12 workers of 33 for evacuation
[5.192s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.1ms
[5.192s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.4ms
[5.192s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 40.5ms
[5.192s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.4ms
[5.192s][info][gc,phases   ] GC(12)   Other: 5.6ms
[5.192s][info][gc,heap     ] GC(12) Eden regions: 228->0(179)
[5.192s][info][gc,heap     ] GC(12) Survivor regions: 19->31(31)
[5.192s][info][gc,heap     ] GC(12) Old regions: 183->202
[5.192s][info][gc,heap     ] GC(12) Archive regions: 0->0
[5.192s][info][gc,heap     ] GC(12) Humongous regions: 29->29
[5.192s][info][gc,metaspace] GC(12) Metaspace: 5464K(5632K)->5464K(5632K) NonClass: 5037K(5120K)->5037K(5120K) Class: 426K(512K)->426K(512K)
[5.192s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 458M->261M(512M) 47.303ms
[5.192s][info][gc,cpu      ] GC(12) User=0.39s Sys=0.03s Real=0.05s
[5.328s][info][gc,start    ] GC(13) Pause Full (System.gc())
[5.328s][info][gc,task     ] GC(13) Using 12 workers of 33 for full compaction
[5.329s][info][gc,phases,start] GC(13) Phase 1: Mark live objects
[5.384s][info][gc,phases      ] GC(13) Phase 1: Mark live objects 55.395ms
[5.384s][info][gc,phases,start] GC(13) Phase 2: Prepare compaction
[5.391s][info][gc,phases      ] GC(13) Phase 2: Prepare compaction 6.981ms
[5.391s][info][gc,phases,start] GC(13) Phase 3: Adjust pointers
[5.405s][info][gc,phases      ] GC(13) Phase 3: Adjust pointers 13.595ms
[5.405s][info][gc,phases,start] GC(13) Phase 4: Compact heap
[5.409s][info][gc,phases      ] GC(13) Phase 4: Compact heap 4.531ms
[5.418s][info][gc,heap        ] GC(13) Eden regions: 112->0(241)
[5.418s][info][gc,heap        ] GC(13) Survivor regions: 31->0(31)
[5.418s][info][gc,heap        ] GC(13) Old regions: 202->175
[5.418s][info][gc,heap        ] GC(13) Archive regions: 0->0
[5.418s][info][gc,heap        ] GC(13) Humongous regions: 29->5
[5.418s][info][gc,metaspace   ] GC(13) Metaspace: 5520K(5696K)->5520K(5696K) NonClass: 5089K(5184K)->5089K(5184K) Class: 430K(512K)->430K(512K)
[5.418s][info][gc             ] GC(13) Pause Full (System.gc()) 373M->173M(512M) 89.714ms
